City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
382,Mogadishu,SO,81.84,broken clouds,2.0371,45.3438,Olympic Hotel
383,Ringas,IN,77.0,haze,27.35,75.5667,Hotel Raghu Palace
386,Pointe Michel,DM,84.2,few clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
387,Veraval,IN,78.01,clear sky,20.9,70.3667,Lords Inn Somnath
390,Maragogi,BR,79.66,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
391,Labrea,BR,77.07,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
393,Miguel Hidalgo,MX,78.8,clear sky,19.4225,-99.2028,JW Marriott Hotel Mexico City
395,Akyab,MM,76.26,clear sky,20.15,92.9,Hotel Memory
399,Viedma,AR,85.75,clear sky,-40.8135,-62.9967,Hotel Cristal
400,Kabo,CF,84.52,few clouds,7.6994,18.629,Nan
403,Namibe,AO,78.71,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
404,Kampot,KH,78.8,broken clouds,10.6167,104.1833,Two Moons Hotel
405,Katobu,ID,75.79,overcast clouds,-4.9408,122.5276,La Ode Husein
412,Banda Aceh,ID,79.68,overcast clouds,5.5577,95.3222,Sulthan Hotel International
414,Sao Geraldo Do Araguaia,BR,79.34,scattered clouds,-6.4006,-48.555,SOLAR DO BARROSO
419,Neuquen,AR,89.6,few clouds,-38.9516,-68.0591,Hotel del Comahue
420,Vila Velha,BR,80.6,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
429,Biltine,TD,85.08,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
430,Deori,IN,77.94,clear sky,21.45,82.6167,बंजारी डीपा
432,Canela,BR,80.01,broken clouds,-29.3656,-50.8156,Grande Hotel Canela
434,Matara,LK,75.36,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
437,Sinnamary,GF,78.28,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
438,Ormara,PK,79.09,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
439,Camopi,GF,76.62,overcast clouds,3.1655,-52.3158,Nan
440,Bara,NG,85.1,few clouds,10.3744,10.7288,Nan
444,Beruwala,LK,78.93,overcast clouds,6.4788,79.9828,The Palms Hotel
445,Mana,GF,79.21,light rain,5.6592,-53.7767,LE SAMANA
452,Sambava,MG,78.06,overcast clouds,-14.2667,50.1667,Melrose
453,Jaggayyapeta,IN,80.78,scattered clouds,16.9,80.1,A P S Resorts & Hotels Pvt Ltd
454,Necochea,AR,80.01,clear sky,-38.5473,-58.7368,dyd -mar Hotel
455,Granja,BR,75.51,overcast clouds,-3.1203,-40.8261,Pousada Casa Grande
458,Alyangula,AU,78.39,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
460,Honiara,SB,81.12,scattered clouds,-9.4333,159.95,Heritage Park Hotel
461,Kidal,ML,83.82,clear sky,18.4411,1.4078,Nan
462,Barra Do Garcas,BR,87.8,very heavy rain,-15.89,-52.2567,Hotel Pousada Tropical
465,Oistins,BB,82.4,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
471,Port Blair,IN,78.96,few clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
475,Bantogon,PH,78.55,overcast clouds,6.5333,124.0333,Kalamansig Greenhome
477,Hun,LY,78.17,overcast clouds,29.1268,15.9477,Alrwasi Hotel
478,Bol,TD,82.18,scattered clouds,13.4586,14.7147,Hotel 3 Etoiles
479,Buala,SB,81.75,light rain,-8.145,159.5921,Maringe Lagoon Lodge
480,Niquero,CU,84.54,few clouds,20.0431,-77.5828,Islazul Niquero
485,Mecca,SA,76.96,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
487,Trinidad,BO,84.2,broken clouds,-14.8333,-64.9,Hotel Piesta
488,Angoche,MZ,76.21,light rain,-16.2325,39.9086,Guest House HESADA
491,Jimani,DO,84.2,scattered clouds,18.4917,-71.8502,HOTEL LA TORRE
495,Bowmore,US,75.99,clear sky,34.9421,-79.3031,Nan
496,Nata,PA,87.8,broken clouds,8.3333,-80.5167,Cabañas Estancia Bayamon
501,Goya,AR,82.63,clear sky,-29.14,-59.2626,Apart Costanera
502,Jiwani,PK,80.53,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
504,Comodoro Rivadavia,AR,82.4,clear sky,-45.8667,-67.5,Austral Hotel
507,Tres Arroyos,AR,75.88,few clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
511,Guantanamo,CU,87.8,broken clouds,20.1444,-75.2092,Hotel Guantánamo
513,Abeche,TD,84.34,broken clouds,13.8292,20.8324,Assaleh Hamdan Haroune
515,Acapulco,MX,86.0,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
518,Praia,CV,80.6,clear sky,14.9215,-23.5087,LT Aparthotel
520,Pisco,PE,82.4,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
521,Sai Buri,TH,78.12,heavy intensity rain,6.7013,101.6168,ร้าน​ เวดดิ้ง
526,Playa Del Carmen,MX,80.6,few clouds,20.6274,-87.0799,Hotel Kinbe
529,Daloa,CI,78.19,broken clouds,6.8774,-6.4502,Imans Hotel Daloa
530,Sapa,PH,79.59,overcast clouds,5.1544,120.3241,Nan
531,Ixtapa,MX,80.6,clear sky,20.7,-105.2,Hotel Plaza Providencia
532,Nanga Eboko,CM,78.17,scattered clouds,4.6833,12.3667,Motel Papi Palace
537,Cancun,MX,80.6,scattered clouds,21.1743,-86.8466,Hotel Tankah Cancun
545,Namatanai,PG,78.85,light rain,-3.6667,152.4333,Namatanai Hotel
550,Lucea,JM,82.99,scattered clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
552,Moron,AR,78.8,clear sky,-34.6534,-58.6198,Hotel Morón
555,Port-Gentil,GA,82.4,few clouds,-0.7193,8.7815,Fengshui Residence
563,Kankan,GN,89.8,scattered clouds,10.3854,-9.3057,Hotel Bate
565,Orocue,CO,86.23,moderate rain,4.7912,-71.3354,Hotel Brisas de San Miguel
567,Porto Novo,BJ,84.2,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
577,Tecoanapa,MX,86.65,clear sky,16.5167,-98.75,Hotel Manglares
579,Kapoeta,SS,80.71,overcast clouds,4.7717,33.5903,Eastgate Hotel
580,Port Keats,AU,75.74,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
584,Tucuman,AR,77.0,broken clouds,-26.8241,-65.2226,HOTEL MIAMI
589,San Andres,CO,87.8,few clouds,12.5847,-81.7006,Hotel Arena Blanca
591,Miri,MY,75.2,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
596,Weligama,LK,76.28,overcast clouds,5.9667,80.4167,Weligama Bay Resort
598,Kloulklubed,PW,77.0,broken clouds,7.0419,134.2556,Storyboard Beach Resort
599,Puerto Colombia,CO,79.59,broken clouds,10.9878,-74.9547,Hotel El Emigrante
600,Aparecida Do Taboado,BR,86.16,broken clouds,-20.0867,-51.0936,Aritana
601,Kapra,IN,81.0,mist,17.4846,78.561,Hotel Swagath Grand - Dr AS Rao Nagar
603,Cayenne,GF,82.4,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
607,Manokwari,ID,78.19,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
611,China,MX,84.38,clear sky,25.7,-99.2333,Hotel Las Palmas
616,Itarema,BR,79.81,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
618,Natal,BR,84.2,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
619,Santa Barbara,US,75.0,clear sky,34.7333,-120.0343,Upper Ballard Campground
623,Berbera,SO,78.64,few clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
624,Kudahuvadhoo,MV,83.34,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
626,Diffa,NE,83.32,clear sky,13.3154,12.6113,ProDAF/Diffa
627,Miraflores,MX,78.8,clear sky,19.2167,-98.8083,Hotel Mansión
628,Tobati,PY,89.6,few clouds,-25.25,-57.0667,Hotel Vista Serrana
630,Manta,EC,82.4,overcast clouds,-0.95,-80.7333,Balandra Hotel
632,Lahaina,US,75.2,scattered clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
634,Rio Grande,BR,78.8,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
635,Mayumba,GA,79.45,overcast clouds,-3.432,10.6554,LIKWALE LODGE
637,Bastrop,US,75.2,clear sky,32.7562,-91.8724,Budget Inn
642,Rodrigues Alves,BR,84.2,broken clouds,-7.7379999999999995,-72.6509,Pousada Aconchego
645,Palauig,PH,78.96,few clouds,15.435,119.9045,Myhousebythesea
647,Soure,BR,79.56,overcast clouds,-0.7167,-48.5233,Casarão
648,Bubaque,GW,75.6,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
649,Nosy Varika,MG,76.06,few clouds,-20.5833,48.5333,Hotel Volazara
652,Jacksonville,US,75.0,few clouds,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
656,Vieux-Habitants,GP,82.4,few clouds,16.0589,-61.7659,Gîtes Dardanelle
662,Guaratinga,BR,77.0,broken clouds,-16.5667,-39.5667,Hotel Caraíva
664,Thinadhoo,MV,83.07,few clouds,0.5333,72.9333,Nan
666,Tonj,SS,86.27,overcast clouds,7.2737,28.6822,Nan
667,Bonthe,SL,79.95,broken clouds,7.5264,-12.505,Bonthe Holiday Village
670,Inirida,CO,78.93,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
671,Bandarbeyla,SO,78.55,broken clouds,9.4942,50.8122,JABIR HOTEL
672,Hobyo,SO,82.51,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
676,Horizontina,BR,78.01,overcast clouds,-27.6258,-54.3078,Hotel Avenida
677,Quepos,CR,84.2,few clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
683,Mareeba,AU,75.2,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
688,Aitape,PG,78.19,broken clouds,-3.1374,142.3475,Nan
689,Vao,NC,75.88,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
691,Pontianak,ID,75.2,mist,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
695,Gao,ML,82.49,clear sky,16.6362,1.6369999999999998,Nan
699,Novo Aripuana,BR,82.85,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
706,Tarakan,ID,79.97,heavy intensity rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
707,Kota Belud,MY,80.6,few clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
708,Tomatlan,MX,87.6,clear sky,19.9333,-105.25,Norma franco
709,Phuket,TH,86.0,few clouds,8.0,98.25,The Surin Phuket
712,El Tigre,VE,86.11,overcast clouds,8.8875,-64.2454,Hotel Santa Cruz
714,Florianopolis,BR,77.0,scattered clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
718,Olimpia,BR,87.8,few clouds,-20.7372,-48.9147,Hotel Savana
